title,ministry,schemeCategory,description,beneficiaryState,npiMinistry,slug,tags,__typename
Mukhyamantri Sampoorna Pushti Yojana: Maternal Nutrition,,"['Women and Child', 'Health & Wellness']",The scheme aims to provide supplementary Take Home Ration (THR) in the form of nutrient-rich food products to pregnant women and lactating mothers across the state.,,,maternalnutritionuk,"['Pregnant Woman', 'Lactating Mother', 'Take Home Ration', 'Nutrient Rich Food', 'Daily Ration', 'Mother']",Search
Mukhyamantri Swasthya Sahayata Yojana Jharkhand,,['Health & Wellness'],"The scheme ""Mukhyamantri Swasthya Sahayata Yojana"" by the Scheduled Tribes, Scheduled Castes, Minorities, & Backward Classes Welfare Department, Govt. of Jharkhand, aims to provide medical financial aid to beneficiaries. It covers illnesses, surgeries, & nutritional support during & after treatment.",,,mmssyj,"['Financial Assistance', 'Health', 'Rural', 'Scheduled Tribe', 'Scheduled Caste', 'Backward Class']",Search
NAMO Shree Scheme,,['Health & Wellness'],"The scheme aims to ensure proper nutritional support to pregnant women and lactating mothers and encourage institutional deliveries. It provides financial assistance of ₹12,000/- to eligible women beneficiaries covering expenses from conception to delivery.",,,nss-g,"['Women', 'Maternal', 'Pregnancy', 'Financial', 'Health', 'Nutrition', 'Delivery']",Search
National AIDS Control Programme - Uttarakhand,,['Health & Wellness'],"The programme aims to prevent and control the spread of HIV/AIDS through awareness, testing, and treatment, while providing care and support to affected individuals.",,,naidscp,"['AIDS', 'HIV', 'HIV Testing', 'Treatment']",Search
"National Action for Mechanised Sanitation Ecosystem (NAMASTE) - ""Emergency Response Sanitation Unit (ERSU) Formation and Functionalisation"" ",Ministry Of Social Justice and Empowerment,"['Social welfare & Empowerment', 'Health & Wellness', 'Utility & Sanitation']","The scheme aims to establish professional, well-trained, motivated and adequately equipped workforce for maintenance and management of sewers and septic tanks, addressing the critical need to eliminate fatalities resulting from workers entering sewers and septic tanks without proper safety measures.",,,namaste-ersufaf,"['Sanitation', 'Emergency', 'Worker', 'Safety', 'Sewer', 'Septic', 'Training']",Search
Payment of Death Benefit ( HPBOCWWB),,"['Social welfare & Empowerment', 'Health & Wellness']","The scheme ""Payment of Death Benefit"" under the Labour and Employment Department, Himachal Pradesh, provides financial assistance to the nominees or dependents of registered members. In case of accidental death, ₹4,00,000 is given, while ₹2,00,000 is payable in case of natural death.",,,podbhpbocwwb,"['Construction', 'Building', 'Death', 'Labour', 'Financial Assistance']",Search
Pension Scheme for Cancer Patients,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme “Pension Scheme for Cancer Patients"" was launched by the Directorate of Social Welfare and Social Education, Government of Tripura. The scheme aims to provide a monthly pension of ₹2,000/- to the person suffering from cancer. ",,,pscp,"['Cancer', 'Patient', 'Pension', 'Medical', 'Financial Assistance']",Search
Pension Scheme for Grade II Deformed Leprosy Patients,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme ""Pension Scheme for Grade II Deformed Leprosy Patients"" is a Pension Scheme by the Directorate of Social Welfare and Social Education, Government of Tripura. The scheme provides financial assistance of ₹2,000/- per month to Leprosy Patients who are residents of Tripura.",,,psfgdlp,"['Leprosy', 'Patients', 'Pension', 'Financial Assistance']",Search
Mukhyamantri Amrutum Yojana,,['Health & Wellness'],"The Mukhyamantri Amrutum Yojana, is a health insurance scheme launched by the Government of Gujarat on 4th September 2012. It was initially launched only to cater to people who fall under the lowest income groups of the state i.e. Below Poverty Line (BPL). ",,,ma,"['Treatment', 'Amrutam', 'Health', 'Wellness', 'BPL']",Search
Mukhyamantri Ayushman Aarogya Yojana,,['Health & Wellness'],"The Mukhyamantri Ayushman Arogya Yojana, launched on 1 May 2021, aims to reduce medical expenses by offering free treatment for 1,798 procedures in government and empanelled private hospitals. Eligible NFSA, SECC 2011 families, contract workers, small farmers, and others can avail benefits.",,,maayr,"['Health', 'Free Treatment', 'Healthcare']",Search
Mukhyamantri Bal Hridaya Upchar Yojana,,['Health & Wellness'],"The scheme provides financial assistance ranging from ₹25,000/- to ₹1,00,000/- for treatment, covering 07 identified heart diseases in children. Key features include covering costs for treatment at recognized government or private hospitals.",,,mbhuy,"['Child', 'Surgery', 'Financial Aid', 'Disease', 'Treatment']",Search
Mukhyamantri Bal Poshan Yojana,,"['Women and Child', 'Health & Wellness']","The scheme aims to improve the health of pre-school children (aged 3 to 6 years) by providing nutritious food, including eggs twice a week and banana chips twice a week, at Anganwadi Centres.",,,mbpyu,"['Child Nutrition', 'Nutrition Meal', 'Pre-school Children', 'Anganwadi Centre']",Search
Mukhyamantri Chiranjeevi Swasthya Beema Yojana,,['Health & Wellness'],"The state government has announced the implementation of 'Universal Health Coverage' in the state in the budget announcement 2021-22, in compliance of which Chief Minister Chiranjeevi Health Insurance Scheme was started in the state from May 1, 2021. ",,,mcsby,"['Financial Assistance', 'Health Insurance', 'Family Welfare']",Search
Mukhyamantri Gambhir Bimari Upchar Yojana,,['Health & Wellness'],"The scheme ""Mukhyamantri Gambhir Bimari Upchar Yojana"" by the Department of Health, Medical Education & Family Welfare, Government of Jharkhand, provides medical grants of up to ₹5,00,000/- for the treatment of critical illnesses and supports acid attack victims.",,,mgbuy,"['Financial Assistance', 'Illnesses', 'Medical', 'Hospital']",Search
Mukhyamantri Kishori Swasthya Yojna,,['Health & Wellness'],"This initiative by the State Government aimed at reducing school dropout rates among adolescent girls by providing free sanitary napkins, promoting hygiene, and supporting their overall health.

",,,mksybs,"['Adolescent Girls', 'Menstrual Hygiene', 'Sanitary Napkins', 'Health And Wellness']",Search
Mukhyamantri Mahila Poshan Yojana,,"['Women and Child', 'Health & Wellness']",The scheme aims to improve the health of pregnant and lactating women by providing nutritional food such as eggs twice a week and dates twice a week at Anganwadi Centres.,,,mmpyu,"['Pregnant Woman', 'Lactating Woman', 'Nutritional Food', 'Health', 'Anganwadi Centre']",Search
Mukhyamantri Mahalakshmi Kit Yojana,,"['Health & Wellness', 'Women and Child']",The scheme aims to improve the health and well-being of both mothers and their newborn girl children by providing essential item kits after the institutional delivery of pregnant women registered at an Anganwadi Centre.,,,mmkyu,"['Girl Child', 'Mahalakshmi', 'Woman', 'Kit']",Search
Mukhyamantri Matrushakti Yojana,,"['Social welfare & Empowerment', 'Health & Wellness']",The scheme aims to enhance maternal and child health by providing nutritional support to first-time pregnant women and mothers of young children during the crucial first 1000 days of life.,,,mmyg,"['Maternal Health', 'Pregnancy', 'Nutrition Kit', 'Infant']",Search
Mukhyamantri Matrupushti Uphar,,"['Women and Child', 'Social welfare & Empowerment', 'Health & Wellness']","The scheme “Mukhyamantri Matrupushti Uphar” was launched by the Directorate of Social Welfare and Social Education, Government of Tripura, to provide financial assistance of ₹500/- to pregnant women through Direct Benefit Transfer (DBT) for antenatal checkups at any health facility. ",,,mmus,"['Women', 'Pregnant', 'Medical', 'Financial Assistance']",Search
Mukhyamantri Nirmaan Shramik Dirghayu Sahayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Mukhyamantri Nirmaan Shramik Dirghayu Sahayata Yojana"" for Building and other construction worker on 11 January 2012.",,,mnsdsy,"['Health', 'Financial Assistance', 'Social Welfare']",Search
Mukhyamantri Nidan Yojana,,['Health & Wellness'],"The scheme aims to provide free quality diagnostic facilities at all government health institutions in Gujarat. It benefits rural population by offering essential laboratory tests, X-ray, sonography services without charge at nearby government healthcare centers.",,,mny-g,"['Healthcare', 'Diagnosis', 'Laboratory', 'Rural', 'Medical']",Search
Niramaya Health Insurance Scheme,Ministry Of Social Justice and Empowerment,"['Social welfare & Empowerment', 'Health & Wellness']","Niramaya Health Insurance Scheme ,launched by the Department of Empowerment of Persons with Disabilities, aims to provide affordable health insurance to the Persons with Disabilities (PwDs).",,,nhis,"['Person With Disability', 'Insurance', 'Financial Assistance', 'Autism', 'Cerebral Palsy', 'Mental Retardation']",Search
Niramaya Scheme,,['Health & Wellness'],"The Department of Health & Family Welfare Department, Government of Odisha introduced a scheme named ""NIRAMAYA"" - a Free Medicines Distribution Scheme. The aim is to provide quality essential medicines for all kinds of diseases to patients visiting government health facilities at free of cost.",,,ns,"['Free Medicines Distribution', 'Drug Distribution Counter', 'Health']",Search
Nirmaan Kamgar Mrtyu Va Divyangta Sahayta Yojana ,,['Health & Wellness'],"The ""Nirman Kamgar Mrtyu Va Divyangta Sahayta Yojana "" is a scheme by the government of Uttar Pradesh, to provide financial assistance to registered construction workers.",,,nkmds,"['Financial Assistance', 'Social Welfare', 'Health & Wellness']",Search
Nikshay Poshan Yojana,Ministry Of Health & Family Welfare,['Health & Wellness'],"Ministry of Health and Family Welfare, Government of India has announced the scheme for incentives for nutritional support to TB patients. This scheme will be called “Nikshay Poshan Yojana”. ",,,nikshay,"['Tuberculosis', 'Health', 'Financial Assistance']",Search
Nirmaan Shramik Mrtyu Evan Divyaang Sahaayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started ""Nirmaan Shramik Mrtyu Evan Divyaang Sahaayata Yojana"" for Building and other construction workers.",,,nsmedsy,"['Financial Assistance', 'Disability Benefits', 'Death Benefits']",Search
Nishulk Swasthya Jaanch Yojana - Uttarakhand,,['Health & Wellness'],"The scheme aims to ensure accessible, affordable and quality healthcare services for all citizens of Uttarakhand by providing free diagnostic tests across government healthcare facilities.",,,nsjy,"['Health', 'Free Checkup', 'Free Tests']",Search
Old Age Homes - Tamil Nadu,,"['Social welfare & Empowerment', 'Health & Wellness', 'Housing & Shelter', 'Women and Child']","The ""Old Age Homes"" was launched by the Social Welfare and Women Empowerment Department, Government of Tamil Nadu. This scheme is to bring qualitative improvement in the living standards of old people of the state. ",,,oahtn,"['Senior Citizens', 'Shelter', 'Food', 'NGO']",Search
Odisha State Treatment Fund,,"['Health & Wellness', 'Banking,Financial Services and Insurance']",The Odisha State Treatment Fund will provide financial assistance for treatment of the poor patients suffering from life threatening disorders & diseases. The financial assistance will be released to the Medical Institutions where the patient undergoes treatment.,,,ostf,"['Financial Assistance', 'Patients', 'Life Threatening Disorders & Diseases']",Search
Scheme to Provide Relief in Case of Death or Disability of Registered Building Workers,,"['Social welfare & Empowerment', 'Health & Wellness']","The ""Scheme to Provide Relief in Case of Death or Disability of Registered Building Workers"" is a Welfare Scheme by the Andhra Pradesh Building & Other Construction Workers LET&F (Labour) Dept. The scheme provides financial assistance to help mitigate the financial burden on the worker's family.",,,sprcddrbw,"['Financial Assistance', 'Accident', 'Differently-abled Person', 'Death', 'Construction Worker']",Search
Scheme for Containing Population Decline of Small Minority Communities ,Ministry Of Minority Affairs,['Health & Wellness'],"The objective of the scheme is to reverse the declining trend of Parsi population by adopting a scientific protocol and structured interventions, stabilize their population and increase the population of Parsis in India.",,,jiyo-parsi,"['Parsi', 'Jiyo Parsi', 'Population', 'Medical', 'Health Of Community']",Search
Scheme for Hospitals / Nursing Homes (PIPDIC),,"['Banking,Financial Services and Insurance', 'Business & Entrepreneurship', 'Health & Wellness']",The scheme aims to financially assist the entrepreneurs for setting up hospitals/nursing homes. The applications for this scheme are accepted online through the PIPDIC portal.,,,shnh-pipdic,"['Equipment', 'Health', 'Nurse', 'Medical', 'Hospital']",Search
Scheme for Providing Counseling to the Trainees of Government Industrial Training Institutes at Directorate of Skill Development & Entrepreneurship,,"['Skills & Employment', 'Health & Wellness']","The scheme aims to provide youth-friendly counseling services in Government Industrial Training Institutes, delivered by appointed Counselors, to assist trainees suffering from mental, physical, or psychological stress. The benefit is the provision of a safe, confidential space.",,,spctgitidsde,"['Trainee', 'Counseling', 'Industry', 'Mental Health', 'Supervision']",Search
Safai Karmakar Prasuti Sahayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Safai Karmakar Prasuti Sahayata Yojana"" for unorganized worker on 11 March 2015.",,,skpsy,"['Heath', 'Financial Assistance', 'Maternity Assistance']",Search
Sanitary Napkin Scheme (UKBOCWWB),,"['Health & Wellness', 'Women and Child']","The scheme aims to provide free sanitary napkins to the daughters of registered construction workers and to women construction workers, in order to promote health and hygiene.",,,snsukbocwwb,"['Sanitary Napkin', 'Building Worker', 'Construction Worker', 'Labour', 'Woman', 'Girls']",Search
Sanitary Napkin Distribution - Uttarakhand,,"['Health & Wellness', 'Women and Child']","The scheme aims to promote menstrual hygiene and prevent reproductive tract infections among adolescent girls aged 10 to 19 years in Uttarakhand by providing sanitary napkins at a nominal cost of ₹6/-, available through all ASHA workers across the state.",,,snduk,"['Sanitary Napkin', 'Adolescent Girls', 'Girl']",Search
Sanitary Napkin Scheme,,['Health & Wellness'],"The scheme aims to provide sanitary napkins to adolescent girls and women at subsidized rates through Anganwadi centres across the state. Under this scheme, sanitary napkins are made available to adolescent girls and women at a cost of ₹6.00 through Anganwadi centres.",,,snsu,"['Adolescent Girls', 'Sanitary Pad', 'Teenage Girls', 'Woman', 'Anganwadi Centre']",Search
Savitribai Phule Kishori Samriddhi Yojana,,"['Education & Learning', 'Social welfare & Empowerment', 'Health & Wellness']","The Savitribai Phule Kishori Samriddhi Yojana was initiated by the ""Department of Women, Child Development, and Social Security, Government of Jharkhand.""",,,spksy,"['Samriddhi', 'Kishori', 'Girl', 'Student', 'Expenses']",Search
Scheme For Adolescent Girls,Ministry of Women and Child Development,"['Health & Wellness', 'Social welfare & Empowerment', 'Women and Child']","A support scheme by Ministry of Women & Child Development enabling self-development and empowerment of out-of-school adolescent girls, and improving their nutritional, health & hygiene  status. All out-of-school adolescent girls in the 11 to 14 years age group are eligible for this scheme.",,,sag,"['Female', 'Health', 'Medicine', 'Free Meal', 'Nutrition', 'Youth', 'Empowerment']",Search
Scheme for Acquisition of Electro-Medical and Other Equipment (PIPDIC),,"['Banking,Financial Services and Insurance', 'Business & Entrepreneurship', 'Health & Wellness']",The scheme aims to financially assist the registered Medical practitioners for acquisition and installation of Electro Medical and other related equipment. The applications for this scheme are accepted online through the PIPDIC portal.,,,saemoe-pipdic,"['Equipment', 'Health', 'Medical', 'Acquisition', 'Installation']",Search
Swachh Bharat Mission – Grameen PHASE I,Ministry Of Jal Shakti,"['Health & Wellness', 'Utility & Sanitation']",The scheme aims to eliminate open defecation and improve rural sanitation by supporting toilet construction and promoting usage among poor and marginalized rural households.,,,sbm-g-i,"['Sanitation', 'Toilet', 'Grameen', 'Swachh Bharat']",Search
Swachh Bharat Mission (Grameen) Phase II,Ministry Of Jal Shakti,"['Utility & Sanitation', 'Health & Wellness']",A sanitation scheme for Visual cleanliness through Open Defecation Free (ODF) sustainability and effective management of solid and liquid waste in villages.,,,sbm-g-ii,"['Swachh Bharat', 'Toilet', 'Sanitation', 'Rural', 'Grameen']",Search
Surakshit Matritva Aashwasan Yojana,Ministry Of Health & Family Welfare,"['Health & Wellness', 'Women and Child']","The scheme aims to provide assured, dignified, and completely free healthcare services to all pregnant women, mothers, and newborns at public health facilities. ",,,suman,"['Pregnant', 'Health']",Search
Swachh Bharat Mission – Urban 2.0,Ministry Of Housing & Urban Affairs,"['Utility & Sanitation', 'Health & Wellness']",A sanitation scheme for the construction of Individual Household Latrines (IHHL) for urban households.,,,sbm-u,"['Toilet', 'Sanitation']",Search
Support for Marginalized Individuals for Livelihood and Enterprise (SMILE): Composite Medical Health for Transgender Persons,Ministry Of Social Justice and Empowerment,"['Social welfare & Empowerment', 'Health & Wellness']",The scheme aims to provide health Insurance coverage to all Transgender persons living in India to improve their health condition through proper treatment including sex re-assignment surgeries as well as medical support. The scheme provides health insurance in the form of Ayushman Bharat Plus.,,,cmhtp-crwtp-smile,"['Transgender', 'Healthcare', 'Insurance', 'Surgery', 'Medical', 'Health']",Search
Urban Health Kiosk Scheme (P.B.O.C.W.W.B),,['Health & Wellness'],"The ""Urban Health Kiosk Scheme'' by the BOCW Welfare Board, Department of Labour, Punjab, is a welfare scheme that aims to provide primary health facilities to the construction workers & their families in urban health kiosks run by Punjab Health Society in slum areas.",,,uhkspbocwwb,"['Labour', 'Building Worker', 'Construction Worker', 'Silicosis Diseases', 'Health']",Search
Vahan Aksmat Sahay Scheme,,['Health & Wellness'],The scheme aims to provide immediate medical assistance and financial support to road traffic accident victims. It offers comprehensive medical treatment packages for various injury types with cashless treatment at empanelled hospitals.,,,vass,"['Vehicle', 'Accident', 'Medical', 'Treatment', 'Injury', 'Health', 'Emergency']",Search
Vandan Matru Yojana,,"['Health & Wellness', 'Women and Child']","This scheme is a Gujarat government initiative providing financial assistance to pregnant and lactating women from economically weaker sections to promote maternal and child health.

",,,vmyg,"['Pregnant Women', 'Child Healthcare', 'Maternity']",Search
Weekly Iron Folic Acid Tablets Free Distribution - Uttarakhand,,['Health & Wellness'],"This aims to improve the health and nutritional status of school-going children by preventing and reducing iron deficiency anemia. Under this scheme, teachers distribute free iron and folic acid tablets every Monday to all students enrolled in government & government-aided schools across the state.",,,wifatfd,"['Iron Tablets', 'Folic Acid Tablets', 'Free Distribution', 'Student']",Search
West Bengal Transport Workers’ Social Security Scheme: Assistance on Hospitalization,,['Health & Wellness'],"The scheme provides financial assistance to transport workers who are hospitalized for 5 or more days due to an accident.
",,,wbtwssah,"['Social Security', 'Transport Worker', 'Hospitalization', 'Medical Assistance']",Search
West Bengal Transport Workers’ Social Security Scheme: Assistance for Purchase of Spectacles,,"['Social welfare & Empowerment', 'Health & Wellness']","This scheme provides financial assistance to eligible beneficiaries every 5 years to support the purchase of spectacles, ensuring better eye health and vision.
",,,wbtwsaps,"['Social Security', 'Transport Worker', 'Health & Wellness', 'Medical Appliance']",Search
West Bengal Transport Workers’ Social Security Scheme: Assistance on Death and Permanent Disablement,,['Health & Wellness'],"The scheme provides financial relief to the beneficiaries in case of permanent disability due to accidents or their dependents/nominees in case of accidental or natural death.
",,,wbtwssadpd,"['Social Empowerment', 'Transport Worker', 'Monthly Assistance', 'Death Assistance', 'Permanent Disablement']",Search
West Bengal Transport Workers’ Social Security Scheme: Maternity Benefit,,"['Women and Child', 'Health & Wellness']","This scheme provides financial assistance to a beneficiary on successful delivery of a child or miscarriage by such beneficiary or his wife.
",,,wbtwsmb,"['Social Security', 'Transport Worker', 'Health & Wellness', 'Maternity Benefit', 'Medical Benefit', 'Pregnant Women']",Search
West Bengal Transport Workers’ Social Security Scheme: Medical Benefit for Major Ailments,,['Health & Wellness'],"This scheme provides financial assistance for the treatment of beneficiaries or their family members suffering from major ailments like cancer, TB, brain stroke, cardiac problems, and others.
",,,wbtwsmbma,"['Social Security', 'Transport Worker', 'Health & Wellness', 'Major Ailments', 'Medical Benefit']",Search
Workers In Case Of Permanent Disablement-JKBOCWWB,,"['Health & Wellness', 'Social welfare & Empowerment']","The ""Workers In Case of Partial Permanent Disablement"" scheme by the JKBOCW Welfare Board, Labour Department, Jammu & Kashmir, provides financial assistance to registered Building and Other Construction (BOC) workers in the case of permanent disablement.",,,wicopdjkbocwwb,"['Building Worker', 'Construction Workers', 'Labour', 'Permanent Disablement', 'Financial Assistance']",Search
Yoga Wellness Center,,['Health & Wellness'],"The scheme aims to promote holistic health and wellness among people of all age groups through yoga, naturopathy, and personalized counseling.",,,ywcuk,"['Yoga', 'Wellness Center', 'Naturopathy', 'Health Counseling', 'Ayurvedic']",Search
"“Home for the Aged"" under Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)",,"['Housing & Shelter', 'Social welfare & Empowerment', 'Health & Wellness']","Through the scheme “Home for the Aged"", the senior citizens are provided with stay at subsidiary rates, food (both vegetarian and non-vegetarian), routine health check up by doctors thrice in a week, providing news papers and television for entertainment.",,,hfta-giapsca,"['Home', 'Senior Citizen', 'Food', 'Doctor', 'Social Welfare']",Search
"“Family Counseling"" under Grant-in-Aid to Pondicherry State Social Welfare Board",,"['Social welfare & Empowerment', 'Health & Wellness']","“Family Counseling"" under the umbrella scheme ""Grant-in-Aid to Pondicherry State Social Welfare Board"" was launched by the Department of Social Welfare, Government of Puducherry. Through this scheme, the residents of Puducherry are provided with counselling, rehabilitative and referral services.",,,fc-giapswb,"['Counselling', 'Rehabilitation', 'Psychological', 'Family']",Search
"“Medical Camps (Allopathy and Indian systems of Medicine)"" under Grant-in-Aid to Pondicherry Society for the Care of the Aged (PONCARE)",,['Health & Wellness'],"“Medical Camps (Allopathy and Indian systems of Medicine)"" under the umbrella scheme ""Grant-in-Aid to Pondicherry Society for the Care of the Aged"" was launched by the Department of Social Welfare, Government of Puducherry. The senior citizens are provided free health checkups and free medicines.",,,mcacism-giapsca,"['Medicine', 'Health', 'Checkup', 'Senior Citizen', 'Doctor']",Search
Silicosis (Bimari) Se Pidit Shramiko Ke Liye Aarthik Evam Punarvas Sahayata Yojana,,['Health & Wellness'],"Chhattisgarh state Government started a scheme ""Silicosis (Bimari) Se Pidit Shramiko Ke Liye Aarthik Evam Punarvas Sahayata Yojana"" for unorganized worker on 16 January 2018.",,,sspsl,"['Financial Assistance', 'Silicosis Disease', 'Unorganized Worker']",Search
Silicosis Financial Assistance Scheme,,"['Health & Wellness', 'Social welfare & Empowerment']","The scheme aims to provide financial assistance to heirs of workers engaged in Akik occupation who died due to silicosis disease. It benefits the families of deceased workers with monetary compensation of ₹1,00,000/- as support for occupational disease-related deaths.",,,sfas,"['Silicosis', 'Labour', 'Worker', 'Rural', 'Disease', 'Heir', 'Compensation']",Search
Silicosis Pidit Hita-dhikariyon Hetu Sahayata Yojana,,['Health & Wellness'],The Silicosis Affected Workers Welfare Scheme is an initiative launched by the Government of Rajasthan to provide financial assistance to workers suffering from silicosis and their families. ,,,sphhsy,"['Labour', 'Financial Assistance', 'Silicosis Victim', 'Health']",Search
Sishu Saathi,,"['Health & Wellness', 'Social welfare & Empowerment']","“Sishu Saathi”, a scheme of the Health and Family Welfare Department, Government of West Bengal as part of the Rastriya Bal Swasthya Karyakram (RBSK) under National Health Mission is meant to treat Indian children of 0-18 years age group with zero out of pocket expenditure.",,,wbsishusathi,"['Sishu Saathi', 'Social Welfare', 'Financial Assistance', 'Child Health']",Search
Sneha Sparsha,,['Health & Wellness'],"""Sneha Sparsha"" is a healthcare scheme by the Dept. of Health & Family Welfare, Govt. of Assam. In this scheme, financial assistance shall be provided for specialized treatment of children below 12 years of age affected with some serious ailments.",,,ss-a,"['Disease', 'Child', 'Financial Assistance']",Search
Sparsh Abhiyan: Surgery to Prevent Disability of Poor and Destitute Disabled People of Madhya Pradesh,,"['Social welfare & Empowerment', 'Health & Wellness']","The scheme aims to provide surgical treatment to prevent disability among poor and destitute disabled persons. Benefits include financial assistance/reimbursement for various surgeries related to visual, hearing, bone impairment, and leprosy, available to eligible residents of Madhya Pradesh.",,,sa-spdpddpmp,"['Disability', 'Destitute', 'Surgery', 'Reimbursement', 'Hospital']",Search
Special Health Scheme for Primitive Tribes,,['Health & Wellness'],"The ""Special Health Scheme for Primitive Tribes"" scheme by the Welfare Department, Government of Jharkhand, aims to improve healthcare services for primitive tribal communities. Financial assistance of ₹38,41,632 is provided for targeted healthcare benefits.",,,shspt,"['Medical', 'Financial Assistance', 'Primitive Tribal', 'Healthcare']",Search
Special Livestock Insurance Scheme,,"['Agriculture,Rural & Environment', 'Health & Wellness']","""Special Livestock Insurance Scheme"" is a welfare initiative targeting SC families engaged in livestock rearing. The scheme provides free insurance for livestock, enhancing the economic security of resource-poor SC families. The scheme covers milch animals, sheep, goats, pigs, camels, etc;",,,slisc,"['Liverstock', 'Insurance', 'Animal', 'Scheduled Caste', 'Employment', 'Sheep', 'Goat']",Search
Specialized Treatment & Medical Assistance Scheme (PBAOCWWB),,['Health & Wellness'],"The Puducherry Building and Other Construction Workers Welfare Board provides up upto ₹2,00,000/- for specialized medical treatment in Hospitals having tie-ups with Government General Hospitals. The amount for the medical treatment is credited through DBT into the bank account.",,,stmas-pbaocwwb,"['Medical', 'Hospital', 'Accident', 'Disease', 'Construction', 'Worker']",Search
Thalolam Scheme,,['Health & Wellness'],"The Government of Kerala launched the “Thalolam Scheme” under Kerala Social Security Mission to provide free treatment to children affected with chronic diseases such as haemophilia, cerebral palsy, etc.",,,ts-kerala,"['Free Treatment', 'Patient', 'Diseases', 'Children', 'Hospital', 'BPL']",Search
Theka Shramik Evan Hamaal Shramik Baahy Rogi Chikitsa Sahaayata Yojana,,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Theka Shramik Evan Hamaal Shramik Baahy Rogi Chikitsa Sahaayata Yojana"" for unorganized worker on 11 March 2015.",,,tshsbr,"['Health', 'Financial Assistance', 'Treatment']",Search
"Theka Shramik, Gharelu Mahila Kamgar Evan Hamal Shramik Prasuti Sahayta Yojana",,"['Health & Wellness', 'Women and Child']","Chhattisgarh State Government started a scheme ""Theka Shramik, Gharelu Mahila Kamgar Evan Hamal Shramik Prasuti Sahayta Yojana"" for unorganized worker on 11 March 2015.",,,gmkhsps,"['Health', 'Financial Assistance', 'Pregnancy Care']",Search
"Theka Shramik, Hamaal Shramik Evan Gharelu Mahila Kamgar Gambhir Bimaari Chikitsa Sahayata Yojana",,['Health & Wellness'],"Chhattisgarh State Government started a scheme ""Theka Shramik, Hamaal Shramik Evan Gharelu Mahila Kamgar Gambhir Bimaari Chikitsa Sahayata Yojana"" for unorganized worker on 05 June 2018.",,,thgmbs,"['Health', 'Wellness', 'Financial Assistance']",Search
Total Health Check-up Scheme (GBOCWWB),,['Health & Wellness'],"This scheme facilitates a complete physical examination of the construction workers, which can diagnose potential illnesses and early treatment can prevent major illnesses. Hence, major illness can be avoided and the construction worker can lead a healthy life.",,,thcsgbocwwb,"['Health Check-up', 'Building Worker', 'Construction Worker', 'Labour', 'Illnesses']",Search
Sruthitharangam ( Cochlear Implantation Scheme ),,['Health & Wellness'],"The Govt. of Kerala launched the “Sruthitharangam (Cochlear Implantation Scheme)” under Kerala Social Security Mission by the Social Justice Department, Kerala. This scheme envisioned providing free cochlear implantation surgery for children in the age group of 0-5 years, who are hearing impaired.",,,scis,"['Cochlear', 'Surgery', 'Children', 'Hearing Impaired', 'Sruthitharangam']",Search
State Government Health Scheme (Golden Card),,['Health & Wellness'],"The scheme aims to provide quality healthcare facilities to all government employees, pensioners, and their dependents in Uttarakhand. Under this scheme, prescribed medical treatment is provided free of cost.",,,sghs,"['Health', 'Government Employee', 'Golden Card', 'Pensioner']",Search
Su-Swastha Yojana,,['Health & Wellness'],"""Su-Swastha Yojna"" provides comprehensive and affordable healthcare coverage to the employees of the Government of Sikkim and their families. Cashless hospitalization at top-tier hospitals across India is provided to eligible beneficiaries with the best-in-class healthcare.",,,su-swastha-yojana,"['Insurance', 'Medical', 'Premium', 'Health', 'Hospital', 'Family']",Search
Tripura Journalist Health Insurance Scheme,,['Health & Wellness'],"A Health Insurance Scheme by the Directorate of Information & Culture Affairs, for Journalists who are permanent residents of the state of Tripura. The applicant must be an accredited journalist by the state government or PIB. The age must be in between 21-65 years.",,,tjhis,"['Journalist', 'Health Insurance']",Search
Udita Yojana,,"['Health & Wellness', 'Women and Child']","Madhya Pradesh State Government started ""Udita Yojana"" for women health promotions.",,,uy,"['Health', 'Wellness', 'Hygiene']",Search
Integrated Child Development Services Scheme,,"['Social welfare & Empowerment', 'Health & Wellness']","In Nagaland, the ICDS programme was launched in the year 1975 in the Jalukie block of Peren district with 50 Anganwadi centres. The programme has since grown and at present, there are 60 (sixty) ICDS projects in 11 (Eleven) districts of the State. ",,,icdss,"['Child Development', 'Health Check Up', 'Children', 'Health Education', 'Nutrition']",Search
